Date,Open,High,Low,Close,Adj Close,Volume
2023-09-21,98.5999984741211,98.87000274658203,95.83999633789062,96.11000061035156,96.11000061035156,59628600
2023-09-22,96.91999816894531,98.41999816894531,95.61000061035156,96.19999694824219,96.19999694824219,52169400
2023-09-25,95.94999694824219,97.44999694824219,94.45999908447266,97.37999725341797,97.37999725341797,43223700
2023-09-26,96.5,97.83000183105469,95.2699966430664,95.95999908447266,95.95999908447266,42866500
2023-09-27,96.81999969482422,99.2300033569336,96.3499984741211,98.06999969482422,98.06999969482422,51261500
2023-09-28,97.94000244140625,104.19999694824219,97.76000213623047,102.76000213623047,102.76000213623047,72542100
2023-09-29,104.69000244140625,104.94000244140625,102.55999755859375,102.81999969482422,102.81999969482422,56027300
2023-10-02,102.20999908447266,103.70999908447266,101.69999694824219,103.2699966430664,103.2699966430664,45118600
2023-10-03,101.80000305175781,103.29000091552734,99.16999816894531,100.08000183105469,100.08000183105469,48117000
2023-10-04,100.6500015258789,104.4000015258789,100.33999633789062,104.06999969482422,104.06999969482422,51023200
2023-10-05,103.41000366210938,103.73999786376953,100.2699966430664,102.91000366210938,102.91000366210938,51789700
2023-10-06,102.16000366210938,107.87000274658203,102.02999877929688,107.23999786376953,107.23999786376953,64807500
2023-10-09,106.01000213623047,107.30999755859375,104.79000091552734,106.97000122070312,106.97000122070312,39593200
2023-10-10,107.48999786376953,110.12000274658203,106.4000015258789,109.01000213623047,109.01000213623047,57105500
2023-10-11,109.13999938964844,110.0999984741211,106.93000030517578,108.30999755859375,108.30999755859375,51085600
2023-10-12,108.4000015258789,111.30999755859375,107.51000213623047,108.79000091552734,108.79000091552734,60959400
2023-10-13,108.6500015258789,108.97000122070312,104.75,105.08999633789062,105.08999633789062,52881500
2023-10-16,105.41999816894531,107.4800033569336,105.02999877929688,106.45999908447266,106.45999908447266,42464500
2023-10-17,103.54000091552734,106.29000091552734,101.66000366210938,105.13999938964844,105.13999938964844,49642100
2023-10-18,103.37999725341797,104.77999877929688,101.73999786376953,102.16999816894531,102.16999816894531,50450000
2023-10-19,103.80999755859375,105.5999984741211,101.83999633789062,102.4000015258789,102.4000015258789,52734200
2023-10-20,102.27999877929688,104.33999633789062,101.44000244140625,101.80999755859375,101.80999755859375,61285600
